TGrepID	EntireSentence	context	BestResponse
9797:33	i've, i've seen some of them on repeats.	###.### let's see,###how about, uh, man from uncle.###.###i do seem --n404ee9 to reme-,###is that the one where they, uh, he always got this, this tape recording that --n404f9f self-destructed --n404faa.###.###that's mission impossible.###.###uh, mission,###that's right,###mission impossible.###yeah,###i used --n4051b3 to watch that.###in fact, i can still remember a couple of those.###they were,###i thought those were very good.###.###yeah,###they always have,	i've, i've seen all of them on repeats.
9501:60	i, i think, in, in some, in some respects it probably mumblex more tolerable.	###speakera50-1*t50-1.###yeah.###speakerbnan*t50-1.###speakerb50-2*t50-2.###uh it doesn't,###some people say, uh, they, they like --n40369a to watch the changing of the seasons###speakeranan*t50-2.###.###but, uh, i'd rather, you know, like southern california, you know, have it kind of sunny and temperate all the time.###.###yeah.###.###speakerb53-1*t53-1.###so, it's kind of a luxury.###speakeranan*t53-1.###speakera53-2*t53-2.###i tend --n403957 to agree###but, i don't know,###speakerbnan*t53-2.###speakera54-1*t54-1.	i, i think, in, in some, in all respects it probably mumblex more tolerable.
9507:75	well i guess this, the weather isn't as lively a topic as, uh, as some of the others we might have gotten --n403bf7.	###speakeranan*t50-2.###.###but, uh, i'd rather, you know, like southern california, you know, have it kind of sunny and temperate all the time.###.###yeah.###.###speakerb53-1*t53-1.###so, it's kind of a luxury.###speakeranan*t53-1.###speakera53-2*t53-2.###i tend --n403957 to agree###but, i don't know,###speakerbnan*t53-2.###speakera54-1*t54-1.### i, i think, in, in some, in some respects it probably mumblex more tolerable.###speakerbnan*t54-1.###speakerb54-2*t54-2.###yeah,###speakeranan*t54-2.###speakerb55-1*t55-1.	well i guess this, the weather isn't as lively a topic as, uh, as all of the others we might have gotten --n403bf7.
9970:53	when they give you the freedom to take care of yourself --n401cf6 then that puts some responsibility on you as well.	###and it's,###you can't eat money.###.###and they have, a, a problem, their, their whole attitude, uh,### i, i'm not sure which crop it was --n401314,###but they had a crop that --n4013c4 rotted in the fields because they couldn't get anyone to harvest it.###.###yeah.###.###and the people in the city were saying, well why should i go --n40151e do that --n40152d.### make the government do that,###that's not my job.###.###right,###they've got a lot of adjustments to make --n4016cc with --n4016d7 coming out of what they've been through --n4016fe now,###and, uh, they've been, they've been under, under the oppression that they've been under --n401878 for so long that now they have some freedoms###but they don't know how to act yet --n401a31.###they don't understand that to make that work, they've got --n401ae6 to take some responsibility for themselves.###it's not just the government's responsibility anymore.###you can't just blame it on the government	when they give you the freedom to take care of yourself --n401cf6 then that puts all responsibility on you as well.
17546:43	and, after i, i graduated, i read some of the old classics that i just bluffed my way through --n405d94 and have found that i enjoy them quite a bit, too, uh,	###yeah.###speakeranan*t160-2.###speakerb161-1*t161-1.###he is really interesting.###speakeranan*t161-1.###speakera161-2*t161-2.###yeah,###speakerbnan*t161-2.###.###he's so prolific.###yeah.###.###speakerb163-1*t163-1.###ooh, i wish i could do that.###speakeranan*t163-1.###speakera163-2*t163-2.###oh, i know it.###and i have gone back###speakerbnan*t163-2.###.	and, after i, i graduated, i read all of the old classics that i just bluffed my way through --n405d94 and have found that i enjoy them quite a bit, too, uh,
18087:40	i haven't watch any other ones on t v. just on some of the tapes.	###at what time,###i can't remember what time.###it's, uh, you know,###i can't remember offhand what time.###.###i'll have --n4065c5 to check it, check, check, check it back up,###.###yeah###mumblex.###.### and, but the thing is everybody always looks so good on that show, at least on mumblex.###.###yeah,###every now and then.###.###not everybody has a picture perfect body.###.###uh-huh,###well, i found that they, they have just a much better program than the other shows that --n406955 are on t v.###.	i haven't watch any other ones on t v. just on all of the tapes.
19045:21	and i've seen where some places have taken a plastic --n406d20 and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that --n406d7f	###but i,###that's not going --n4067fe to be a regular feature.###that was just a one time thing right after christmas.###.###well, the,###but, uh, something nee-, does need --n40695f to be done --n406972 about the styrofoam that, uh,###.###well, those things must take up a huge amount of space in landfills.###.###oh, yeah,###i mean, they don't, uh, uh,###.###they don't mash.###.###no.###.###they don't compress at all.###and they stay forever.###.###right.	and i've seen where all places have taken a plastic --n406d20 and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that --n406d7f
19223:138	and, you know, i even had a thought --n4030ab once that the whole iraqi thing might have been just a, a deal --n4030f6 to go ahead and let us, uh, you know, expend some, some military hardware.	###even if it is, you know, the best thing in the long run, it just steps on too many people --n402889's toes, who --n4028a0 are comfortable with the way the situation is --n4028cb.###.###.###yeah.###yeah,### i, i think, you know, what i'd have --n402a94 to,###.### i, i gues-, i guess --n402ba8 to answer the question directly, i'm still just a, a little bit, you know, leery of the whole thing.###.###uh-huh.###.###what i haven't seen --n402db8 is the, uh, you know, a great stepping back in the military, situation.###.###speakera38-1*t38-1.###right.###speakerbnan*t38-1.###speakerb38-2*t38-2.###you know, it's, it --n402f1e's one thing, you know, to let us go ahead and sort of disarm###speakeranan*t38-2.###.	and, you know, i even had a thought --n4030ab once that the whole iraqi thing might have been just a, a deal --n4030f6 to go ahead and let us, uh, you know, expend some, all military hardware.
19360:7	and some of the countries that --n406266 were forced --n406275 in at th-, later dates is the three baltic countries, you know, --n4062c8 came in, in the forties,	###speakera75-2*t75-2.###now i realize that the origins are, are different and that we all joined under a common direction and a common bond to begin with, and that they may have been forced --n405be8,###speakerbnan*t75-2.###.###i'm not that familiar with their future,###.###uh-huh.###but i, you know, i,###.###it --n405e66's easy to believe that they were probably more --n405e95 forced --n405ea0 into a pact than, uh, a volunteer or willingness to join.###.###yeah.###.###but,### there, there was the whole thing was put --n406059 together, you know, by force.###.### there's, there's no, no real question about that.###.###uh-huh.###.	and all of the countries that --n406266 were forced --n406275 in at th-, later dates is the three baltic countries, you know, --n4062c8 came in, in the forties,
58800:5	some of the stuff is good,	###speakerb97-1*t97-1.###but.###speakeranan*t97-1.###speakera97-2*t97-2.###yeah,###speakerbnan*t97-2.###speakera98-1*t98-1.###it --n404d13's hard to get a protein content up then.###speakerbnan*t98-1.###speakerb98-2*t98-2.###yeah,###yeah.###speakeranan*t98-2.###.###that's true.###yeah,### i like, i like them every now and then for a change,###.### ye-, it's nice.###yeah,	all of the stuff is good,
